"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Jordan","JOR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","","","","111","","111","","","","","","",
"Japan","JPN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","","","","1668","","1668","","","","","","",
"Kazakhstan","KAZ","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","","","","","250","","","","","250","","","","","250","","","","","250","","250","","","","","","",
"Kenya","KEN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","630","","","","","","",
"Kyrgyz Republic","KGZ","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","533","","","","","533","","","","","533","","","","","533","","","","","533","","533","","","","","","",
"Cambodia","KHM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","","","","1904","","1904","","","","","","",
"Kiribati","KIR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","","","","","630","","","","","630","","","","","630","","","","","630","","","","","","","","",
"St. Kitts and Nevis","KNA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","","","","1427","","1427","","","","","","",
"Korea, Rep.","KOR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","1274","","","","","","",
"Kuwait","KWT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","","","","121","","121","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","","","","1834","","1834","","","","","","",
"Lebanon","LBN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","","","","661","","661","","","","","","",
"Liberia","LBR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","","","","2391","","2391","","","","","","",
"Libya","LBY","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","56","","","","","","",
"St. Lucia","LCA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","","","","2301","","2301","","","","","","",
"Latin America & Caribbean","LCN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","","","","","56","","","","","56","","","","","56","","","","","56","","","","","","","","",
"Sri Lanka","LKA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","1712","","","","","","",
"Lower middle income","LMC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","788","","","","","","",
"Late-demographic dividend","LTE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","656","","","","","656","","","","","656","","","","","656","","","","","656","","656","","","","","","",
"Luxembourg","LUX","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","","","","934","","934","","","","","","",
"Latvia","LVA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","641","","","","","641","","","","","641","","","","","641","","","","","641","","641","","","","","","",
"Macao SAR, China","MAC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","","","","346","","346","","","","","","",
"Monaco","MCO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","","","","","450","","","","","450","","","","","450","","","","","450","","450","","","","","","",
"Madagascar","MDG","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","","","","1513","","1513","","","","","","",
"Maldives","MDV","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","","","","1972","","1972","","","","","","",
"Middle East & North Africa","MEA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","758","","","","","","",
"Marshall Islands","MHL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","","","","",
"Middle income","MIC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","619","","","","","619","","","","","619","","","","","619","","","","","619","","619","","","","","","",
"Mali","MLI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","282","","","","","","",
"Malta","MLT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","","","","560","","560","","","","","","",
"Myanmar","MMR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","","","","2091","","2091","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","","","","",
"Mongolia","MNG","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","","","","241","","241","","","","","","",
"Northern Mariana Islands","MNP","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","","","","1032","","1032","","","","","","",
"Mauritania","MRT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","","","","92","","92","","","","","","",
"Mauritius","MUS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","","","","2041","","2041","","","","","","",
"Malawi","MWI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","","","","1181","","1181","","","","","","",
"Malaysia","MYS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","","","","2875","","2875","","","","","","",
"North America","NAC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","285","","","","","","",
"New Caledonia","NCL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","","","","151","","151","","","","","","",
"Nigeria","NGA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","","","","1150","","1150","","","","","","",
"Nicaragua","NIC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","","","","2280","","2280","","","","","","",
"Netherlands","NLD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","","","","778","","778","","","","","","",
"Norway","NOR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","","","","1414","","1414","","","","","","",
"Nepal","NPL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","1500","","","","","","",
"Nauru","NRU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","","","","","285","","","","","285","","","","","285","","","","","285","","","","","","","","",
"New Zealand","NZL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","","","","1732","","1732","","","","","","",
"OECD members","OED","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","","","","125","","125","","","","","","",
"Other small states","OSS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","494","","","","","","",
"Panama","PAN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","","","","2928","","2928","","","","","","",
"Peru","PER","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","","","","1738","","1738","","","","","","",
"Philippines","PHL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","","","","2348","","2348","","","","","","",
"Palau","PLW","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","494","","","","","494","","","","","494","","","","","494","","","","","494","","","","","","","","",
"Papua New Guinea","PNG","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","","","","3142","","3142","","","","","","",
"Poland","POL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","","","","600","","600","","","","","","",
"Pre-demographic dividend","PRE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","","","","2054","","2054","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","","","","1054","","1054","","","","","","",
"Portugal","PRT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","","","","854","","854","","","","","","",
"Paraguay","PRY","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","","","","1130","","1130","","","","","","",
"West Bank and Gaza","PSE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","402","","","","","","",
"Pacific island small states","PSS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Post-demographic dividend","PST","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"French Polynesia","PYF","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","","","","74","","74","","","","","","",
"Romania","ROU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","","","","637","","637","","","","","","",
"Russian Federation","RUS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","","","","","460","","","","","460","","","","","460","","","","","460","","460","","","","","","",
"Rwanda","RWA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","","","","1212","","1212","","","","","","",
"South Asia","SAS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Saudi Arabia","SAU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","","","","59","","59","","","","","","",
"Sudan","SDN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","1712","","","","","1712","","","","","1712","","","","","1712","","","","","250","","250","","","","","","",
"Senegal","SEN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","686","","","","","","",
"Singapore","SGP","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","","","","2497","","2497","","","","","","",
"Solomon Islands","SLB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","","","","3028","","3028","","","","","","",
"Sierra Leone","SLE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","","","","2526","","2526","","","","","","",
"El Salvador","SLV","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","","","","1784","","1784","","","","","","",
"San Marino","SMR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","","","","282","","282","","","","","","",
"Serbia","SRB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686","","","","","686","","","","","686","","","","","686","","","","","686","","","","","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Sudan","SSD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","495","","","","","495","","","","","495","","","","","495","","","","","900","","900","","","","","","",
"Sub-Saharan Africa","SSF","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Small states","SST","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","","","","3200","","3200","","","","","","",
"Suriname","SUR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","","","","2331","","2331","","","","","","",
"Slovak Republic","SVK","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497","","","","","824","","","","","824","","","","","824","","","","","824","","824","","","","","","",
"Slovenia","SVN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1162","","","","","1162","","","","","1162","","","","","1162","","","","","1162","","1162","","","","","","",
"Sweden","SWE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","624","","","","","","",
"Eswatini","SWZ","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","788","","","","","","",
"Sint Maarten (Dutch part)","SXM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","2330","","","","","","",
"Syrian Arab Republic","SYR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","252","","","","","","",
"Turks and Caicos Islands","TCA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","322","","","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Togo","TGO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","1168","","","","","","",
"Thailand","THA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","1622","","","","","","",
"Tajikistan","TJK","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691","","","","","691","","","","","691","","","","","691","","","","","691","","691","","","","","","",
"Turkmenistan","TKM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","","","","","161","","","","","161","","","","","161","","","","","161","","161","","","","","","",
