"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bermuda","BMU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","1146","","","","","","",
"Brazil","BRA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","1761","","","","","","",
"Barbados","BRB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","1422","","","","","","",
"Brunei Darussalam","BRN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","2722","","","","","","",
"Bhutan","BTN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","2200","","","","","","",
"Botswana","BWA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","416","","","","","","",
"Central African Republic","CAF","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","1343","","","","","","",
"Canada","CAN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","537","","","","","","",
"Central Europe and the Baltics","CEB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","1537","","","","","","",
"Channel Islands","CHI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","1522","","","","","","",
"China","CHN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","645","","","","","","",
"Cote d'Ivoire","CIV","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","1348","","","","","","",
"Cameroon","CMR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","1604","","","","","","",
"Congo, Dem. Rep.","COD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","1543","","","","","","",
"Congo, Rep.","COG","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","1646","","","","","","",
"Colombia","COL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","3240","","","","","","",
"Comoros","COM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","900","","","","","","",
"Cabo Verde","CPV","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","228","","","","","","",
"Costa Rica","CRI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","2926","","","","","","",
"Caribbean small states","CSS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","1335","","","","","","",
"Curacao","CUW","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","498","","","","","","",
"Czech Republic","CZE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","677","","","","","677","","","","","677","","","","","677","","677","","","","","","",
"Germany","DEU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","700","","","","","","",
"Djibouti","DJI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","220","","","","","","",
"Dominica","DMA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","2083","","","","","","",
"Denmark","DNK","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","703","","","","","","",
"Dominican Republic","DOM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","1410","","","","","","",
"Algeria","DZA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","89","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","2274","","","","","","",
"Egypt, Arab Rep.","EGY","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","51","","","","","","",
"Euro area","EMU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","384","","","","","384","","","","","384","","","","","384","","384","","","","","","",
"Spain","ESP","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","636","","","","","","",
"Estonia","EST","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626","","","","","626","","","","","626","","","","","626","","","","","626","","626","","","","","","",
"Ethiopia","ETH","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","848","","","","","848","","","","","848","","","","","848","","848","","","","","","",
"European Union","EUU","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","536","","","","","","",
"Fiji","FJI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","2592","","","","","","",
"France","FRA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","867","","","","","","",
"Faroe Islands","FRO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","","","","",
"Gabon","GAB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","1831","","","","","","",
"United Kingdom","GBR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","1220","","","","","","",
"Georgia","GEO","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1026","","","","","1026","","","","","1026","","","","","1026","","","","","1026","","1026","","","","","","",
"Ghana","GHA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","1187","","","","","","",
"Gibraltar","GIB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","1651","","","","","","",
"Gambia, The","GMB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","836","","","","","","",
"Guinea-Bissau","GNB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","1577","","","","","","",
"Equatorial Guinea","GNQ","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","","","","2156","","2156","","","","","","",
"Greece","GRC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","","","","652","","652","","","","","","",
"Grenada","GRD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","","","","2350","","2350","","","","","","",
"Greenland","GRL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","","","","1996","","1996","","","","","","",
"Guam","GUM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","","","","2387","","2387","","","","","","",
"High income","HIC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","","","","1976","","1976","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1113","","","","","1113","","","","","1113","","","","","1113","","","","","1113","","1113","","","","","","",
"Haiti","HTI","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","","","","1440","","1440","","","","","","",
"Hungary","HUN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","","","","589","","589","","","","","","",
"IBRD only","IBD","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","","","","2702","","2702","","","","","","",
"IDA only","IDX","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","","","","1083","","1083","","","","","","",
"Not classified","INX","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","","","","1118","","1118","","","","","","",
"Iran, Islamic Rep.","IRN","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","228","","","","","","",
"Iraq","IRQ","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","","","","216","","216","","","","","","",
"Iceland","ISL","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","","","","1940","","1940","","","","","","",
"Israel","ISR","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","","","","435","","435","","","","","","",
"Italy","ITA","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","","","","832","","832","","","","","","",
"Jamaica","JAM","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","","","","2051","","2051","","","","","","",
