"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2005","UNESCO_UIS Database_Sep2007","Number","1541255",""
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Number","1290341",""
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Number","1314468",""
"Afghanistan","Female","2002","UNESCO_UIS Database_Sep2007","Number","805074",""
"Afghanistan","Female","2001","UNESCO_UIS Database_Sep2007","Number","-","1"
"Afghanistan","Female","2000","UNESCO_UIS Database_Sep2007","Number","-","1"
"Afghanistan","Female","1999","UNESCO_UIS Database_Sep2007","Number","64110",""
"Afghanistan","Male","2005","UNESCO_UIS Database_Sep2007","Number","2777564",""
"Afghanistan","Male","2004","UNESCO_UIS Database_Sep2007","Number","3139801",""
"Afghanistan","Male","2003","UNESCO_UIS Database_Sep2007","Number","2466547",""
"Afghanistan","Male","2002","UNESCO_UIS Database_Sep2007","Number","1862555",""
"Afghanistan","Male","2001","UNESCO_UIS Database_Sep2007","Number","773623","2"
"Afghanistan","Male","2000","UNESCO_UIS Database_Sep2007","Number","749360","2"
"Afghanistan","Male","1999","UNESCO_UIS Database_Sep2007","Number","893293",""
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Number","120767",""
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Number","121614",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Number","126051",""
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Number","133222",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Number","136723",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Number","140610",""
"Albania","Male","2004","UNESCO_UIS Database_Sep2007","Number","129720",""
"Albania","Male","2003","UNESCO_UIS Database_Sep2007","Number","131215",""
"Albania","Male","2002","UNESCO_UIS Database_Sep2007","Number","137552",""
"Albania","Male","2001","UNESCO_UIS Database_Sep2007","Number","141011",""
"Albania","Male","2000","UNESCO_UIS Database_Sep2007","Number","146526",""
"Albania","Male","1999","UNESCO_UIS Database_Sep2007","Number","151460",""
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Number","2049927",""
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Number","2119454",""
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Number","2166045",""
"Algeria","Female","2002","UNESCO_UIS Database_Sep2007","Number","2204374",""
"Algeria","Female","2001","UNESCO_UIS Database_Sep2007","Number","2210114",""
"Algeria","Female","2000","UNESCO_UIS Database_Sep2007","Number","2264608",""
"Algeria","Female","1999","UNESCO_UIS Database_Sep2007","Number","2229152",""
"Algeria","Male","2005","UNESCO_UIS Database_Sep2007","Number","2311817",""
"Algeria","Male","2004","UNESCO_UIS Database_Sep2007","Number","2388249",""
"Algeria","Male","2003","UNESCO_UIS Database_Sep2007","Number","2446529",""
"Algeria","Male","2002","UNESCO_UIS Database_Sep2007","Number","2487496",""
"Algeria","Male","2001","UNESCO_UIS Database_Sep2007","Number","2510836",""
"Algeria","Male","2000","UNESCO_UIS Database_Sep2007","Number","2578705",""
"Algeria","Male","1999","UNESCO_UIS Database_Sep2007","Number","2549718",""
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Number","1914",""
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Number","2007",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Number","1954",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Number","1948",""
"Andorra","Male","2005","UNESCO_UIS Database_Sep2007","Number","2171",""
"Andorra","Male","2004","UNESCO_UIS Database_Sep2007","Number","2257",""
"Andorra","Male","2003","UNESCO_UIS Database_Sep2007","Number","2188",""
"Andorra","Male","2002","UNESCO_UIS Database_Sep2007","Number","2160",""
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Number","490755","3"
"Angola","Male","1999","UNESCO_UIS Database_Sep2007","Number","566433",""
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Number","736",""
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Number","717",""
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Number","719",""
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Number","699",""
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Number","728",""
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Number","774",""
"Anguilla","Female","1999","UNESCO_UIS Database_Sep2007","Number","788",""
"Anguilla","Male","2005","UNESCO_UIS Database_Sep2007","Number","713",""
"Anguilla","Male","2004","UNESCO_UIS Database_Sep2007","Number","716",""
"Anguilla","Male","2003","UNESCO_UIS Database_Sep2007","Number","728",""
"Anguilla","Male","2002","UNESCO_UIS Database_Sep2007","Number","728",""
"Anguilla","Male","2001","UNESCO_UIS Database_Sep2007","Number","761",""
"Anguilla","Male","2000","UNESCO_UIS Database_Sep2007","Number","765",""
"Anguilla","Male","1999","UNESCO_UIS Database_Sep2007","Number","781",""
"Antigua and Barbuda","Female","2000","UNESCO_UIS Database_Sep2007","Number","8079",""
"Antigua and Barbuda","Male","2000","UNESCO_UIS Database_Sep2007","Number","4946",""
"Argentina","Female","2004","UNESCO_UIS Database_Sep2007","Number","2294732",""
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Number","2290620",""
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Number","2415579",""
"Argentina","Female","2001","UNESCO_UIS Database_Sep2007","Number","2406956",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Number","2404380",""
"Argentina","Female","1999","UNESCO_UIS Database_Sep2007","Number","2373931",""
"Argentina","Male","2004","UNESCO_UIS Database_Sep2007","Number","2390800",""
"Argentina","Male","2003","UNESCO_UIS Database_Sep2007","Number","2384249",""
"Argentina","Male","2002","UNESCO_UIS Database_Sep2007","Number","2498862",""
"Argentina","Male","2001","UNESCO_UIS Database_Sep2007","Number","2493269",""
"Argentina","Male","2000","UNESCO_UIS Database_Sep2007","Number","2493844",""
"Argentina","Male","1999","UNESCO_UIS Database_Sep2007","Number","2446977",""
"Armenia","Female","2005","UNESCO_UIS Database_Sep2007","Number","60311",""
"Armenia","Female","2003","UNESCO_UIS Database_Sep2007","Number","65106",""
"Armenia","Female","2002","UNESCO_UIS Database_Sep2007","Number","69756",""
"Armenia","Female","2001","UNESCO_UIS Database_Sep2007","Number","75753",""
"Armenia","Female","2000","UNESCO_UIS Database_Sep2007","Number","81417","3"
"Armenia","Male","2005","UNESCO_UIS Database_Sep2007","Number","64838",""
"Armenia","Male","2003","UNESCO_UIS Database_Sep2007","Number","69558",""
"Armenia","Male","2002","UNESCO_UIS Database_Sep2007","Number","74059",""
"Armenia","Male","2001","UNESCO_UIS Database_Sep2007","Number","79670",""
"Armenia","Male","2000","UNESCO_UIS Database_Sep2007","Number","85432",""
"Aruba","Female","2005","UNESCO_UIS Database_Sep2007","Number","4955",""
"Aruba","Female","2004","UNESCO_UIS Database_Sep2007","Number","4877",""
"Aruba","Female","2003","UNESCO_UIS Database_Sep2007","Number","4749",""
"Aruba","Female","2002","UNESCO_UIS Database_Sep2007","Number","4747",""
"Aruba","Female","2001","UNESCO_UIS Database_Sep2007","Number","4590",""
"Aruba","Female","2000","UNESCO_UIS Database_Sep2007","Number","4502",""
"Aruba","Female","1999","UNESCO_UIS Database_Sep2007","Number","4444",""
"Aruba","Male","2005","UNESCO_UIS Database_Sep2007","Number","5295",""
"Aruba","Male","2004","UNESCO_UIS Database_Sep2007","Number","5308",""
"Aruba","Male","2003","UNESCO_UIS Database_Sep2007","Number","5148",""
"Aruba","Male","2002","UNESCO_UIS Database_Sep2007","Number","5093",""
"Aruba","Male","2001","UNESCO_UIS Database_Sep2007","Number","4846",""
"Aruba","Male","2000","UNESCO_UIS Database_Sep2007","Number","4761",""
"Aruba","Male","1999","UNESCO_UIS Database_Sep2007","Number","4652",""
"Australia","Female","2005","UNESCO_UIS Database_Sep2007","Number","940230",""
"Australia","Female","2004","UNESCO_UIS Database_Sep2007","Number","940521",""
"Australia","Female","2003","UNESCO_UIS Database_Sep2007","Number","939251",""
"Australia","Female","2002","UNESCO_UIS Database_Sep2007","Number","939943",""
"Australia","Female","2001","UNESCO_UIS Database_Sep2007","Number","931146",""
"Australia","Female","2000","UNESCO_UIS Database_Sep2007","Number","926934",""
"Australia","Female","1999","UNESCO_UIS Database_Sep2007","Number","917694",""
"Australia","Male","2005","UNESCO_UIS Database_Sep2007","Number","994711",""
"Australia","Male","2004","UNESCO_UIS Database_Sep2007","Number","994028",""
"Australia","Male","2003","UNESCO_UIS Database_Sep2007","Number","992566",""
"Australia","Male","2002","UNESCO_UIS Database_Sep2007","Number","993822",""
"Australia","Male","2001","UNESCO_UIS Database_Sep2007","Number","983249",""
"Australia","Male","2000","UNESCO_UIS Database_Sep2007","Number","979017",""
"Australia","Male","1999","UNESCO_UIS Database_Sep2007","Number","967647",""
"Austria","Female","2005","UNESCO_UIS Database_Sep2007","Number","176597",""
"Austria","Female","2004","UNESCO_UIS Database_Sep2007","Number","181782",""
"Austria","Female","2003","UNESCO_UIS Database_Sep2007","Number","184455",""
"Austria","Female","2002","UNESCO_UIS Database_Sep2007","Number","187288",""
"Austria","Female","2001","UNESCO_UIS Database_Sep2007","Number","190130",""
"Austria","Female","2000","UNESCO_UIS Database_Sep2007","Number","190108",""
"Austria","Female","1999","UNESCO_UIS Database_Sep2007","Number","188453",""
"Austria","Male","2005","UNESCO_UIS Database_Sep2007","Number","186225",""
"Austria","Male","2004","UNESCO_UIS Database_Sep2007","Number","191181",""
"Austria","Male","2003","UNESCO_UIS Database_Sep2007","Number","195465",""
"Austria","Male","2002","UNESCO_UIS Database_Sep2007","Number","199196",""
"Austria","Male","2001","UNESCO_UIS Database_Sep2007","Number","202209",""
"Austria","Male","2000","UNESCO_UIS Database_Sep2007","Number","202299",""
"Austria","Male","1999","UNESCO_UIS Database_Sep2007","Number","200324",""
"Azerbaijan","Female","2005","UNESCO_UIS Database_Sep2007","Number","270875",""
"Azerbaijan","Female","2004","UNESCO_UIS Database_Sep2007","Number","290277",""
"Azerbaijan","Female","2003","UNESCO_UIS Database_Sep2007","Number","303489",""
"Azerbaijan","Female","2002","UNESCO_UIS Database_Sep2007","Number","321998",""
"Azerbaijan","Female","2001","UNESCO_UIS Database_Sep2007","Number","334312",""
"Azerbaijan","Female","2000","UNESCO_UIS Database_Sep2007","Number","342302",""
"Azerbaijan","Female","1999","UNESCO_UIS Database_Sep2007","Number","344079",""
"Azerbaijan","Male","2005","UNESCO_UIS Database_Sep2007","Number","297222",""
"Azerbaijan","Male","2004","UNESCO_UIS Database_Sep2007","Number","316730",""
"Azerbaijan","Male","2003","UNESCO_UIS Database_Sep2007","Number","332163",""
"Azerbaijan","Male","2002","UNESCO_UIS Database_Sep2007","Number","346904",""
"Azerbaijan","Male","2001","UNESCO_UIS Database_Sep2007","Number","359448",""
"Azerbaijan","Male","2000","UNESCO_UIS Database_Sep2007","Number","357834",""
"Azerbaijan","Male","1999","UNESCO_UIS Database_Sep2007","Number","363160",""
"Bahamas","Female","2005","UNESCO_UIS Database_Sep2007","Number","18182",""
"Bahamas","Female","2004","UNESCO_UIS Database_Sep2007","Number","17743","3"
"Bahamas","Female","2003","UNESCO_UIS Database_Sep2007","Number","17075","3"
"Bahamas","Female","2002","UNESCO_UIS Database_Sep2007","Number","16911",""
"Bahamas","Female","2001","UNESCO_UIS Database_Sep2007","Number","16735","3"
"Bahamas","Female","2000","UNESCO_UIS Database_Sep2007","Number","16405","3"
"Bahamas","Female","1999","UNESCO_UIS Database_Sep2007","Number","16463",""
"Bahamas","Male","2005","UNESCO_UIS Database_Sep2007","Number","18868",""
"Bahamas","Male","2004","UNESCO_UIS Database_Sep2007","Number","18327",""
"Bahamas","Male","2003","UNESCO_UIS Database_Sep2007","Number","17504",""
"Bahamas","Male","2002","UNESCO_UIS Database_Sep2007","Number","17242",""
"Bahamas","Male","2001","UNESCO_UIS Database_Sep2007","Number","17260",""
"Bahamas","Male","2000","UNESCO_UIS Database_Sep2007","Number","17240",""
"Bahamas","Male","1999","UNESCO_UIS Database_Sep2007","Number","17317",""
"Bahrain","Female","2005","UNESCO_UIS Database_Sep2007","Number","40581",""
"Bahrain","Female","2004","UNESCO_UIS Database_Sep2007","Number","40474",""
"Bahrain","Female","2003","UNESCO_UIS Database_Sep2007","Number","40051",""
"Bahrain","Female","2002","UNESCO_UIS Database_Sep2007","Number","39468",""
"Bahrain","Female","2001","UNESCO_UIS Database_Sep2007","Number","38792",""
"Bahrain","Female","2000","UNESCO_UIS Database_Sep2007","Number","38004",""
"Bahrain","Female","1999","UNESCO_UIS Database_Sep2007","Number","37175",""
"Bahrain","Male","2005","UNESCO_UIS Database_Sep2007","Number","42718",""
"Bahrain","Male","2004","UNESCO_UIS Database_Sep2007","Number","42234",""
"Bahrain","Male","2003","UNESCO_UIS Database_Sep2007","Number","41836",""
"Bahrain","Male","2002","UNESCO_UIS Database_Sep2007","Number","41589",""
"Bahrain","Male","2001","UNESCO_UIS Database_Sep2007","Number","40615",""
"Bahrain","Male","2000","UNESCO_UIS Database_Sep2007","Number","39716",""
"Bahrain","Male","1999","UNESCO_UIS Database_Sep2007","Number","39127",""
"Bangladesh","Female","2004","UNESCO_UIS Database_Sep2007","Number","8906867",""
"Bangladesh","Female","2003","UNESCO_UIS Database_Sep2007","Number","8617096",""
"Bangladesh","Female","2002","UNESCO_UIS Database_Sep2007","Number","8720181",""
"Bangladesh","Female","2001","UNESCO_UIS Database_Sep2007","Number","8669425",""
"Bangladesh","Female","2000","UNESCO_UIS Database_Sep2007","Number","8635287",""
"Bangladesh","Female","1999","UNESCO_UIS Database_Sep2007","Number","8556712",""
"Bangladesh","Male","2004","UNESCO_UIS Database_Sep2007","Number","9046433",""
"Bangladesh","Male","2003","UNESCO_UIS Database_Sep2007","Number","8845877",""
"Bangladesh","Male","2002","UNESCO_UIS Database_Sep2007","Number","8841647",""
"Bangladesh","Male","2001","UNESCO_UIS Database_Sep2007","Number","8989795",""
"Bangladesh","Male","2000","UNESCO_UIS Database_Sep2007","Number","9032698",""
"Bangladesh","Male","1999","UNESCO_UIS Database_Sep2007","Number","9065019",""
"Barbados","Female","2005","UNESCO_UIS Database_Sep2007","Number","10949",""
"Barbados","Female","2004","UNESCO_UIS Database_Sep2007","Number","10918",""
"Barbados","Female","2003","UNESCO_UIS Database_Sep2007","Number","11292",""
"Barbados","Female","2002","UNESCO_UIS Database_Sep2007","Number","11515",""
"Barbados","Female","2001","UNESCO_UIS Database_Sep2007","Number","11900",""
"Barbados","Female","2000","UNESCO_UIS Database_Sep2007","Number","11968",""
"Barbados","Female","1999","UNESCO_UIS Database_Sep2007","Number","12130",""
"Barbados","Male","2005","UNESCO_UIS Database_Sep2007","Number","11300",""
"Barbados","Male","2004","UNESCO_UIS Database_Sep2007","Number","11409",""
"Barbados","Male","2003","UNESCO_UIS Database_Sep2007","Number","11782",""
"Barbados","Male","2002","UNESCO_UIS Database_Sep2007","Number","11879",""
"Barbados","Male","2001","UNESCO_UIS Database_Sep2007","Number","12325",""
"Barbados","Male","2000","UNESCO_UIS Database_Sep2007","Number","12507",""
"Barbados","Male","1999","UNESCO_UIS Database_Sep2007","Number","12662",""
"Belarus","Female","2005","UNESCO_UIS Database_Sep2007","Number","181276",""
"Belarus","Female","2004","UNESCO_UIS Database_Sep2007","Number","192969",""
"Belarus","Female","2003","UNESCO_UIS Database_Sep2007","Number","211036",""
"Belarus","Female","2002","UNESCO_UIS Database_Sep2007","Number","247048",""
"Belarus","Female","2001","UNESCO_UIS Database_Sep2007","Number","271265",""
"Belarus","Female","2000","UNESCO_UIS Database_Sep2007","Number","290032",""
"Belarus","Female","1999","UNESCO_UIS Database_Sep2007","Number","305483",""
"Belarus","Male","2005","UNESCO_UIS Database_Sep2007","Number","198301",""
"Belarus","Male","2004","UNESCO_UIS Database_Sep2007","Number","210872",""
"Belarus","Male","2003","UNESCO_UIS Database_Sep2007","Number","225969",""
"Belarus","Male","2002","UNESCO_UIS Database_Sep2007","Number","264815",""
"Belarus","Male","2001","UNESCO_UIS Database_Sep2007","Number","289666",""
"Belarus","Male","2000","UNESCO_UIS Database_Sep2007","Number","309700",""
"Belarus","Male","1999","UNESCO_UIS Database_Sep2007","Number","326600",""
"Belgium","Female","2005","UNESCO_UIS Database_Sep2007","Number","360536",""
"Belgium","Female","2004","UNESCO_UIS Database_Sep2007","Number","364668",""
"Belgium","Female","2003","UNESCO_UIS Database_Sep2007","Number","370640",""
"Belgium","Female","2002","UNESCO_UIS Database_Sep2007","Number","373700",""
"Belgium","Female","2001","UNESCO_UIS Database_Sep2007","Number","375510",""
"Belgium","Female","2000","UNESCO_UIS Database_Sep2007","Number","376351",""
"Belgium","Female","1999","UNESCO_UIS Database_Sep2007","Number","370339",""
"Belgium","Male","2005","UNESCO_UIS Database_Sep2007","Number","378044",""
"Belgium","Male","2004","UNESCO_UIS Database_Sep2007","Number","382443",""
"Belgium","Male","2003","UNESCO_UIS Database_Sep2007","Number","391090",""
"Belgium","Male","2002","UNESCO_UIS Database_Sep2007","Number","394087",""
"Belgium","Male","2001","UNESCO_UIS Database_Sep2007","Number","396379",""
"Belgium","Male","2000","UNESCO_UIS Database_Sep2007","Number","397391",""
"Belgium","Male","1999","UNESCO_UIS Database_Sep2007","Number","392395",""
"Belize","Female","2005","UNESCO_UIS Database_Sep2007","Number","24390",""
"Belize","Female","2004","UNESCO_UIS Database_Sep2007","Number","23860",""
"Belize","Female","2003","UNESCO_UIS Database_Sep2007","Number","23030",""
"Belize","Female","2002","UNESCO_UIS Database_Sep2007","Number","22717","3"
"Belize","Female","2001","UNESCO_UIS Database_Sep2007","Number","21936",""
"Belize","Female","2000","UNESCO_UIS Database_Sep2007","Number","21612",""
"Belize","Female","1999","UNESCO_UIS Database_Sep2007","Number","21416",""
"Belize","Male","2005","UNESCO_UIS Database_Sep2007","Number","25999",""
"Belize","Male","2004","UNESCO_UIS Database_Sep2007","Number","25136",""
"Belize","Male","2003","UNESCO_UIS Database_Sep2007","Number","24157",""
"Belize","Male","2002","UNESCO_UIS Database_Sep2007","Number","24282",""
"Belize","Male","2001","UNESCO_UIS Database_Sep2007","Number","23310",""
"Belize","Male","2000","UNESCO_UIS Database_Sep2007","Number","23176",""
"Belize","Male","1999","UNESCO_UIS Database_Sep2007","Number","22764",""
"Benin","Female","2005","UNESCO_UIS Database_Sep2007","Number","574103",""
"Benin","Female","2004","UNESCO_UIS Database_Sep2007","Number","564661",""
"Benin","Female","2003","UNESCO_UIS Database_Sep2007","Number","516137",""
"Benin","Female","2002","UNESCO_UIS Database_Sep2007","Number","475653",""
"Benin","Female","2001","UNESCO_UIS Database_Sep2007","Number","427869",""
"Benin","Female","2000","UNESCO_UIS Database_Sep2007","Number","374622",""
"Benin","Female","1999","UNESCO_UIS Database_Sep2007","Number","342595",""
"Benin","Male","2005","UNESCO_UIS Database_Sep2007","Number","744037",""
"Benin","Male","2004","UNESCO_UIS Database_Sep2007","Number","754987",""
"Benin","Male","2003","UNESCO_UIS Database_Sep2007","Number","717077",""
"Benin","Male","2002","UNESCO_UIS Database_Sep2007","Number","677145",""
"Benin","Male","2001","UNESCO_UIS Database_Sep2007","Number","627067",""
"Benin","Male","2000","UNESCO_UIS Database_Sep2007","Number","557802",""
"Benin","Male","1999","UNESCO_UIS Database_Sep2007","Number","529622",""
"Bermuda","Female","2005","UNESCO_UIS Database_Sep2007","Number","2400",""
"Bermuda","Female","2004","UNESCO_UIS Database_Sep2007","Number","2440",""
"Bermuda","Female","2003","UNESCO_UIS Database_Sep2007","Number","2445",""
"Bermuda","Female","2002","UNESCO_UIS Database_Sep2007","Number","2468",""
"Bermuda","Female","2001","UNESCO_UIS Database_Sep2007","Number","2462",""
"Bermuda","Male","2005","UNESCO_UIS Database_Sep2007","Number","2360",""
"Bermuda","Male","2004","UNESCO_UIS Database_Sep2007","Number","2370",""
"Bermuda","Male","2003","UNESCO_UIS Database_Sep2007","Number","2434",""
"Bermuda","Male","2002","UNESCO_UIS Database_Sep2007","Number","2442",""
"Bermuda","Male","2001","UNESCO_UIS Database_Sep2007","Number","2497",""
"Bhutan","Female","2005","UNESCO_UIS Database_Sep2007","Number","48459",""
"Bhutan","Female","2002","UNESCO_UIS Database_Sep2007","Number","43322","3"
"Bhutan","Female","2001","UNESCO_UIS Database_Sep2007","Number","41242",""
"Bhutan","Female","2000","UNESCO_UIS Database_Sep2007","Number","39250",""
"Bhutan","Female","1999","UNESCO_UIS Database_Sep2007","Number","37056",""
"Bhutan","Male","2005","UNESCO_UIS Database_Sep2007","Number","50999",""
"Bhutan","Male","2002","UNESCO_UIS Database_Sep2007","Number","48068",""
"Bhutan","Male","2001","UNESCO_UIS Database_Sep2007","Number","46962",""
"Bhutan","Male","2000","UNESCO_UIS Database_Sep2007","Number","45842",""
"Bhutan","Male","1999","UNESCO_UIS Database_Sep2007","Number","44100",""
"Bolivia","Female","2004","UNESCO_UIS Database_Sep2007","Number","754948","3"
"Bolivia","Female","2003","UNESCO_UIS Database_Sep2007","Number","749209",""
"Bolivia","Female","2002","UNESCO_UIS Database_Sep2007","Number","753544",""
"Bolivia","Female","2001","UNESCO_UIS Database_Sep2007","Number","731896",""
"Bolivia","Female","2000","UNESCO_UIS Database_Sep2007","Number","727053",""
"Bolivia","Female","1999","UNESCO_UIS Database_Sep2007","Number","703561",""
"Bolivia","Male","2004","UNESCO_UIS Database_Sep2007","Number","786611",""
"Bolivia","Male","2003","UNESCO_UIS Database_Sep2007","Number","782787",""
"Bolivia","Male","2002","UNESCO_UIS Database_Sep2007","Number","790886",""
"Bolivia","Male","2001","UNESCO_UIS Database_Sep2007","Number","769144",""
"Bolivia","Male","2000","UNESCO_UIS Database_Sep2007","Number","764970",""
"Bolivia","Male","1999","UNESCO_UIS Database_Sep2007","Number","741318",""
"Botswana","Female","2005","UNESCO_UIS Database_Sep2007","Number","162758",""
"Botswana","Female","2004","UNESCO_UIS Database_Sep2007","Number","161933",""
"Botswana","Female","2003","UNESCO_UIS Database_Sep2007","Number","163403",""
"Botswana","Female","2002","UNESCO_UIS Database_Sep2007","Number","163589",""
"Botswana","Female","2001","UNESCO_UIS Database_Sep2007","Number","163519",""
"Botswana","Female","2000","UNESCO_UIS Database_Sep2007","Number","161091",""
"Botswana","Female","1999","UNESCO_UIS Database_Sep2007","Number","160351",""
"Botswana","Male","2005","UNESCO_UIS Database_Sep2007","Number","168130",""
"Botswana","Male","2004","UNESCO_UIS Database_Sep2007","Number","166759",""
"Botswana","Male","2003","UNESCO_UIS Database_Sep2007","Number","166973",""
"Botswana","Male","2002","UNESCO_UIS Database_Sep2007","Number","167246",""
"Botswana","Male","2001","UNESCO_UIS Database_Sep2007","Number","165932",""
"Botswana","Male","2000","UNESCO_UIS Database_Sep2007","Number","163192",""
"Botswana","Male","1999","UNESCO_UIS Database_Sep2007","Number","162124",""
"Brazil","Female","2004","UNESCO_UIS Database_Sep2007","Number","8956527",""
"Brazil","Female","2003","UNESCO_UIS Database_Sep2007","Number","9028186",""
"Brazil","Female","2002","UNESCO_UIS Database_Sep2007","Number","9251695",""
"Brazil","Female","2001","UNESCO_UIS Database_Sep2007","Number","9420559",""
"Brazil","Female","2000","UNESCO_UIS Database_Sep2007","Number","9640628",""
"Brazil","Female","1999","UNESCO_UIS Database_Sep2007","Number","9994506",""
"Brazil","Male","2004","UNESCO_UIS Database_Sep2007","Number","10012057",""
"Brazil","Male","2003","UNESCO_UIS Database_Sep2007","Number","9890936",""
"Brazil","Male","2002","UNESCO_UIS Database_Sep2007","Number","10128692",""
"Brazil","Male","2001","UNESCO_UIS Database_Sep2007","Number","10307125",""
"Brazil","Male","2000","UNESCO_UIS Database_Sep2007","Number","10570878",""
"Brazil","Male","1999","UNESCO_UIS Database_Sep2007","Number","10944570",""
"British Virgin Islands","Female","2005","UNESCO_UIS Database_Sep2007","Number","1398",""
"British Virgin Islands","Female","2004","UNESCO_UIS Database_Sep2007","Number","1361",""
"British Virgin Islands","Female","2003","UNESCO_UIS Database_Sep2007","Number","1331",""
"British Virgin Islands","Female","2002","UNESCO_UIS Database_Sep2007","Number","1376",""
"British Virgin Islands","Female","2001","UNESCO_UIS Database_Sep2007","Number","1378","3"
"British Virgin Islands","Female","2000","UNESCO_UIS Database_Sep2007","Number","1385",""
"British Virgin Islands","Female","1999","UNESCO_UIS Database_Sep2007","Number","1350",""
"British Virgin Islands","Male","2005","UNESCO_UIS Database_Sep2007","Number","1500",""
"British Virgin Islands","Male","2004","UNESCO_UIS Database_Sep2007","Number","1463",""
"British Virgin Islands","Male","2003","UNESCO_UIS Database_Sep2007","Number","1449",""
"British Virgin Islands","Male","2002","UNESCO_UIS Database_Sep2007","Number","1435",""
"British Virgin Islands","Male","2001","UNESCO_UIS Database_Sep2007","Number","1397","4"
"British Virgin Islands","Male","2000","UNESCO_UIS Database_Sep2007","Number","1398",""
"British Virgin Islands","Male","1999","UNESCO_UIS Database_Sep2007","Number","1407",""
"Brunei","Female","2005","UNESCO_UIS Database_Sep2007","Number","22029",""
"Brunei","Female","2004","UNESCO_UIS Database_Sep2007","Number","22199",""
"Brunei","Female","2003","UNESCO_UIS Database_Sep2007","Number","22230",""
"Brunei","Female","2002","UNESCO_UIS Database_Sep2007","Number","21479",""
"Brunei","Female","2001","UNESCO_UIS Database_Sep2007","Number","21187",""
"Brunei","Female","2000","UNESCO_UIS Database_Sep2007","Number","21359",""
"Brunei","Female","1999","UNESCO_UIS Database_Sep2007","Number","21538",""
"Brunei","Male","2005","UNESCO_UIS Database_Sep2007","Number","23983",""
"Brunei","Male","2004","UNESCO_UIS Database_Sep2007","Number","24183",""
"Brunei","Male","2003","UNESCO_UIS Database_Sep2007","Number","24012",""
"Brunei","Male","2002","UNESCO_UIS Database_Sep2007","Number","23403",""
"Brunei","Male","2001","UNESCO_UIS Database_Sep2007","Number","23300",""
"Brunei","Male","2000","UNESCO_UIS Database_Sep2007","Number","23622",""
"Brunei","Male","1999","UNESCO_UIS Database_Sep2007","Number","24289",""
"Bulgaria","Female","2005","UNESCO_UIS Database_Sep2007","Number","140230",""
"Bulgaria","Female","2004","UNESCO_UIS Database_Sep2007","Number","151711",""
"Bulgaria","Female","2003","UNESCO_UIS Database_Sep2007","Number","160631",""
"Bulgaria","Female","2002","UNESCO_UIS Database_Sep2007","Number","168564",""
"Bulgaria","Female","2001","UNESCO_UIS Database_Sep2007","Number","180011",""
"Bulgaria","Female","2000","UNESCO_UIS Database_Sep2007","Number","189048",""
"Bulgaria","Female","1999","UNESCO_UIS Database_Sep2007","Number","198169",""
"Bulgaria","Male","2005","UNESCO_UIS Database_Sep2007","Number","149787",""
"Bulgaria","Male","2004","UNESCO_UIS Database_Sep2007","Number","162510",""
"Bulgaria","Male","2003","UNESCO_UIS Database_Sep2007","Number","172385",""
"Bulgaria","Male","2002","UNESCO_UIS Database_Sep2007","Number","181052",""
"Bulgaria","Male","2001","UNESCO_UIS Database_Sep2007","Number","194350",""
"Bulgaria","Male","2000","UNESCO_UIS Database_Sep2007","Number","203828",""
"Bulgaria","Male","1999","UNESCO_UIS Database_Sep2007","Number","213557",""
"Burkina Faso","Female","2005","UNESCO_UIS Database_Sep2007","Number","555518",""
"Burkina Faso","Female","2004","UNESCO_UIS Database_Sep2007","Number","492469",""
"Burkina Faso","Female","2003","UNESCO_UIS Database_Sep2007","Number","426577",""
"Burkina Faso","Female","2002","UNESCO_UIS Database_Sep2007","Number","399310","3"
"Burkina Faso","Female","2001","UNESCO_UIS Database_Sep2007","Number","372044",""
"Burkina Faso","Female","2000","UNESCO_UIS Database_Sep2007","Number","347837",""
